show_id,country
s515,United States
s516,United States
s517,United States
s518,United States
s519,United States
s520,United States
s521,United States
s522,United States
s523,United States
s524,United States
s525,United States
s526,United States
s527,United States
s528,United States
s529,United States
s530,United States
s531,United States
s532,United States
s533,United States
s534,United States
s535,United States
s536,United States
s537,United States
s538,United States
s539,United States
s540,United States
s541,United States
s542,United States
s543,United States
s544,United States
s545,United States
s546,United States
s547,"United States, United Kingdom, Canada"
s548,United States
s549,United States
s550,United States
s551,United States
s552,United States
s553,United States
s554,United States
s555,United States
s556,United States
s557,United States
s558,United States
s559,United States
s560,United States
s561,United States
s562,United States
s563,United States
s564,United States
s565,United States
s566,United States
s567,United States
s568,United States
s569,United States
s570,United States
s571,United States
s572,United States
s573,United States
s574,United States
s575,United States
s576,United States
s577,United States
s578,United States
s579,United States
s580,United States
s581,United States
s582,United States
s583,United States
s584,United States
s585,United States
s586,United States
s587,United States
s588,United States
s589,United States
s590,United States
s591,United States
s592,United States
s593,United States
s594,United States
s595,United States
s596,United States
s597,United States
s598,United States
s599,United States
s600,United States
s601,United States
s602,United States
s603,United States
s604,United States
s605,United States
s606,United States
s607,United States
s608,"United Kingdom, United States, India"
s609,United States
s610,United States
s611,United States
s612,United States
s613,"United Kingdom, India"
s614,United States
s615,United States
s616,United States
s617,United States
s618,United States
s619,United States
s620,Canada
s621,United States
s622,United States
s623,United States
s624,United States
s625,United States
s626,United States
s627,United States
s628,United States
s629,United States
s630,United States
s631,United States
s632,United States
s633,United States
s634,United States
s635,United States
s636,United States
s637,United States
s638,"United Kingdom, United States"
s639,United States
s640,United States
s641,United States
s642,United States
s643,United States
s644,United States
s645,United States
s646,United States
s647,United States
s648,United States
s649,United States
s650,United States
s651,United States
s652,United States
s653,United States
s654,United States
s655,United States
s656,United States
s657,United Kingdom
s658,United States
s659,United States
s660,United States
s661,United States
s662,United States
s663,United States
s664,United States
s665,United States
s666,United States
s667,"United States, China"
s668,United States
s669,United States
s670,United States
s671,United States
s672,United States
s673,United States
s674,United States
s675,United States
s676,United States
s677,"Canada, United States"
s678,United States
s679,United States
s680,United States
s681,United States
s682,United States
s683,United States
s684,United States
s685,United States
s686,United States
s687,United States
s688,United States
s689,United States
s690,United States
s691,United States
s692,United States
s693,United States
s694,United States
s695,United States
s696,United States
s697,United States
s698,United States
s699,United States
s700,United States
s701,United States
s702,United States
s703,United States
s704,United States
s705,United States
s706,United States
s707,United States
s708,United States
s709,United States
s710,United States
s711,United States
s712,United States
s713,United States
s714,United States
s715,United States
s716,United States
s717,United States
s718,United States
s719,United States
s720,United States
s721,United States
s722,United States
s723,United States
s724,United States
s725,United States
s726,United States
s727,United States
s728,United States
s729,United States
s730,United States
s731,United States
s732,United States
s733,United States
s734,United States
s735,United States
s736,United States
s737,United States
s738,United States
s739,United States
s740,United States
s741,United States
s742,United States
s743,United States
s744,United States
s745,United States
s746,United States
s747,United States
s748,United States
s749,United States
s750,United States
s751,United States
s752,United States
s753,United States
s754,United States
s755,United States
s756,United States
s757,"United States, Thailand"
s758,United States
s759,United States
s760,United States
s761,United States
s762,United States
s763,United States
s764,United States
s765,United States
s766,United States
s767,United States
s768,United States
s769,United States
s770,United States
s771,United States
s772,United States
s773,United States
s774,United States
s775,United States
s776,United States
s777,United States
s778,United States
s779,United States
